fm;fx;mess_datum;nm;pm;qn_3;qn_4;rsk;rskf;sdk;shk_tag;station;stations_id;tgk;tmk;tnk;txk;upm;vpm
;;1948-07-01;;1005.5;;5;;;;;395;395;7.0;12.6;8.0;18.5;89.0;13.1
;;1948-07-02;;1009.4;;5;;;;;395;395;5.9;16.0;6.8;21.2;75.0;13.6
;;1948-07-03;;1017.9;;5;;;;;395;395;11.5;12.6;11.4;15.5;83.0;12.1
;;1948-07-04;;1015.1;;5;;;;;395;395;8.0;16.0;9.3;21.5;75.0;13.5
;;1948-07-05;;1004.2;;5;;;;;395;395;12.5;17.4;12.8;22.4;70.0;13.9
;;1948-07-06;;1004.7;;5;;;;;395;395;10.0;18.6;11.0;24.7;62.0;13.1
;;1948-07-07;;1009.9;;5;;;;;395;395;9.1;13.9;10.3;17.6;85.0;13.9
;;1948-07-08;;1002.4;;5;;;;;395;395;8.0;10.6;8.7;14.0;91.0;12.1
;;1948-07-09;;1002.3;;5;;;;;395;395;3.5;14.0;4.5;18.4;73.0;11.5
;;1948-07-10;;1001.9;;5;;;;;395;395;9.0;13.2;9.9;14.0;96.0;14.4
;;1948-07-11;;1002.6;;5;;;;;395;395;13.5;15.2;13.8;23.0;85.0;14.8
;;1948-07-12;;1002.0;;5;;;;;395;395;8.8;15.0;9.4;19.6;83.0;14.4
;;1948-07-13;;999.0;;5;;;;;395;395;11.9;13.9;12.2;20.5;90.0;14.5
;;1948-07-14;;1001.8;;5;;;;;395;395;8.2;14.8;8.9;20.2;77.0;12.9
;;1948-07-15;;1002.4;;5;;;;;395;395;10.4;14.2;11.0;18.9;75.0;12.4
;;1948-07-16;;1002.2;;5;;;;;395;395;7.7;15.1;10.0;18.0;81.0;13.9
;;1948-07-17;;1005.6;;5;;;;;395;395;12.9;15.0;13.5;19.8;80.0;14.0
;;1948-07-18;;1006.7;;5;;;;;395;395;5.4;15.6;8.1;21.7;74.0;13.2
;;1948-07-19;;1009.1;;5;;;;;395;395;8.6;18.4;10.8;24.9;73.0;15.3
;;1948-07-20;;1011.2;;5;;;;;395;395;8.5;20.3;11.5;27.6;75.0;18.0
;;1948-07-21;;1010.3;;5;;;;;395;395;8.5;24.2;16.3;31.5;69.0;20.9
;;1948-07-22;;1012.4;;5;;;;;395;395;14.4;18.6;16.3;24.1;83.0;18.9
;;1948-07-23;;1017.6;;5;;;;;395;395;8.9;16.2;11.2;22.9;78.0;14.5
;;1948-07-24;;1016.0;;5;;;;;395;395;7.8;19.3;9.5;24.7;60.0;13.3
;;1948-07-25;;1019.4;;5;;;;;395;395;14.4;20.9;15.3;25.5;69.0;16.9
;;1948-07-26;;1022.0;;5;;;;;395;395;15.1;22.6;16.3;28.0;71.0;19.7
;;1948-07-27;;1020.3;;5;;;;;395;395;14.1;23.6;16.5;29.5;62.0;18.3
;;1948-07-28;;1017.5;;5;;;;;395;395;10.6;22.7;13.8;29.4;54.0;14.9
;;1948-07-29;;1015.0;;5;;;;;395;395;11.0;23.8;13.6;30.5;50.0;14.5
;;1948-07-30;;1014.3;;5;;;;;395;395;12.3;25.0;15.0;31.5;52.0;16.0
;;1948-07-31;;1015.8;;5;;;;;395;395;14.4;24.4;17.4;31.2;51.0;16.0
;;1948-08-01;;1013.4;;5;;;;;395;395;10.7;24.2;12.6;32.0;51.0;15.2
;;1948-08-02;;1004.3;;5;;;;;395;395;12.4;25.2;14.8;34.0;51.0;16.3
;;1948-08-03;;1004.6;;5;;;;;395;395;17.3;20.2;18.3;24.3;75.0;18.3
;;1948-08-04;;1008.2;;5;;;;;395;395;13.7;18.4;15.1;24.1;80.0;17.1
;;1948-08-05;;1008.7;;5;;;;;395;395;14.2;16.0;14.4;22.0;68.0;12.7
;;1948-08-06;;1007.2;;5;;;;;395;395;9.9;19.5;11.6;25.5;59.0;13.5
;;1948-08-07;;1000.6;;5;;;;;395;395;11.0;21.8;14.2;28.5;69.0;18.3
;;1948-08-08;;997.0;;5;;;;;395;395;16.2;18.3;16.4;21.9;87.0;19.1
;;1948-08-09;;1002.4;;5;;;;;395;395;13.9;18.7;14.5;25.0;68.0;15.1
;;1948-08-10;;1005.8;;5;;;;;395;395;10.0;18.6;11.3;24.9;75.0;16.3
;;1948-08-11;;1006.2;;5;;;;;395;395;11.1;18.4;12.3;23.2;87.0;18.5
;;1948-08-12;;1000.4;;5;;;;;395;395;13.9;18.1;14.8;25.0;80.0;16.8
;;1948-08-13;;994.6;;5;;;;;395;395;14.6;13.6;12.6;15.8;95.0;15.1
;;1948-08-14;;998.0;;5;;;;;395;395;12.5;17.3;12.8;21.2;79.0;15.7
;;1948-08-15;;1011.5;;5;;;;;395;395;13.4;14.2;12.2;20.0;82.0;13.9
;;1948-08-16;;1014.2;;5;;;;;395;395;8.9;18.2;10.5;25.4;79.0;16.7
;;1948-08-17;;1008.3;;5;;;;;395;395;12.8;20.9;14.4;28.1;81.0;20.4
;;1948-08-18;;1005.5;;5;;;;;395;395;15.6;15.8;13.0;21.7;78.0;14.4
;;1948-08-19;;999.9;;5;;;;;395;395;10.6;14.7;11.8;18.4;91.0;15.3
;;1948-08-20;;1009.6;;5;;;;;395;395;11.5;13.5;11.7;19.0;87.0;13.6
;;1948-08-21;;1013.9;;5;;;;;395;395;7.4;15.5;8.5;22.4;80.0;14.0
;;1948-08-22;;1009.1;;5;;;;;395;395;10.0;16.9;11.6;20.2;84.0;16.1
;;1948-08-23;;1009.1;;5;;;;;395;395;10.6;16.2;12.8;21.5;86.0;15.9
;;1948-08-24;;1008.4;;5;;;;;395;395;12.8;16.4;13.6;22.0;80.0;15.1
;;1948-08-25;;1007.5;;5;;;;;395;395;7.5;18.2;8.8;22.0;86.0;17.6
;;1948-08-26;;1005.9;;5;;;;;395;395;15.2;16.4;15.2;20.0;71.0;13.6
;;1948-08-27;;1012.3;;5;;;;;395;395;12.1;14.6;12.6;18.9;75.0;12.4
;;1948-08-28;;1017.6;;5;;;;;395;395;8.0;12.3;9.5;17.9;74.0;10.9
;;1948-08-29;;1021.1;;5;;;;;395;395;4.4;13.4;5.7;20.6;80.0;12.1
;;1948-08-30;;1021.2;;5;;;;;395;395;4.4;15.3;5.7;22.0;78.0;13.1
;;1948-08-31;;1017.4;;5;;;;;395;395;11.7;17.6;13.5;24.7;72.0;14.8
;;1948-09-01;;1009.5;;5;;;;;395;395;10.2;18.8;11.9;25.5;69.0;14.5
;;1948-09-02;;1009.0;;5;;;;;395;395;13.1;14.2;11.9;19.8;79.0;12.9
;;1948-09-03;;1004.2;;5;;;;;395;395;4.5;16.4;6.0;22.1;68.0;12.1
;;1948-09-04;;1002.7;;5;;;;;395;395;10.1;18.8;11.3;24.5;69.0;14.7
;;1948-09-05;;1000.6;;5;;;;;395;395;13.7;20.2;14.5;28.1;76.0;18.0
;;1948-09-06;;1002.7;;5;;;;;395;395;14.4;18.1;15.3;24.8;74.0;15.6
;;1948-09-07;;1014.8;;5;;;;;395;395;13.0;13.1;10.0;20.2;75.0;11.6
;;1948-09-08;;1021.6;;5;;;;;395;395;4.0;13.8;5.4;23.0;71.0;10.7
;;1948-09-09;;1021.8;;5;;;;;395;395;4.4;15.5;6.0;24.8;71.0;12.4
;;1948-09-10;;1016.8;;5;;;;;395;395;5.9;20.3;7.9;26.8;72.0;16.7
;;1948-09-11;;1007.6;;5;;;;;395;395;12.4;21.9;14.8;29.5;66.0;17.1
;;1948-09-12;;1009.2;;5;;;;;395;395;12.4;18.3;13.8;22.8;79.0;16.9
;;1948-09-13;;1009.0;;5;;;;;395;395;12.0;16.9;13.9;21.6;88.0;17.3
;;1948-09-14;;1015.0;;5;;;;;395;395;10.8;14.6;11.2;22.2;81.0;13.7
;;1948-09-15;;1014.7;;5;;;;;395;395;8.6;16.1;9.8;22.1;83.0;15.5
;;1948-09-16;;1012.2;;5;;;;;395;395;9.9;14.2;12.3;16.1;79.0;12.9
;;1948-09-17;;1012.3;;5;;;;;395;395;10.0;14.1;11.4;18.4;76.0;12.3
;;1948-09-18;;1008.8;;5;;;;;395;395;12.8;14.6;12.9;18.5;65.0;10.9
;;1948-09-19;;1012.0;;5;;;;;395;395;8.6;15.5;9.8;18.0;73.0;12.3
;;1948-09-20;;1003.4;;5;;;;;395;395;13.9;12.4;9.6;17.0;69.0;10.5
;;1948-09-21;;1003.4;;5;;;;;395;395;5.9;7.7;6.0;13.5;71.0;7.7
;;1948-09-22;;1008.4;;5;;;;;395;395;3.1;7.8;4.6;13.0;77.0;8.1
;;1948-09-23;;1013.9;;5;;;;;395;395;3.5;7.2;4.8;14.5;81.0;8.4
;;1948-09-24;;1017.1;;5;;;;;395;395;1.2;10.7;3.2;16.9;68.0;8.1
;;1948-09-25;;1015.9;;5;;;;;395;395;6.3;11.1;6.9;20.0;78.0;10.5
;;1948-09-26;;1013.4;;5;;;;;395;395;3.9;11.0;6.0;18.9;83.0;11.2
;;1948-09-27;;1012.2;;5;;;;;395;395;4.4;16.5;6.0;22.8;72.0;12.8
;;1948-09-28;;1011.8;;5;;;;;395;395;8.8;18.4;11.3;27.2;74.0;15.7
;;1948-09-29;;1012.7;;5;;;;;395;395;12.0;16.6;13.8;22.1;76.0;14.7
;;1948-09-30;;1016.7;;5;;;;;395;395;10.4;13.6;11.9;17.5;71.0;11.2
;;1948-10-01;;1024.0;;5;;;;;395;395;9.9;10.6;7.5;15.5;73.0;9.5
;;1948-10-02;;1018.3;;5;;;;;395;395;5.2;15.5;6.4;20.3;75.0;12.7
;;1948-10-03;;1009.8;;5;;;;;395;395;14.0;14.0;12.4;18.0;87.0;14.3
;;1948-10-04;;1007.5;;5;;;;;395;395;9.5;10.2;8.2;13.4;83.0;10.5
;;1948-10-05;;1019.5;;5;;;;;395;395;-1.1;7.4;1.1;12.4;83.0;8.3
;;1948-10-06;;1023.5;;5;;;;;395;395;7.0;8.8;7.5;11.6;82.0;9.3
;;1948-10-07;;1023.4;;5;;;;;395;395;-2.1;6.1;-0.2;13.9;79.0;7.3
